# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.11757
# Diagonal elements of inverse mass matrix:
# 0.0136173, 0.0138888, 0.0118749, 0.013463, 0.0126246, 0.0781819, 0.0702101, 0.0615243, 0.246044, 0.26055, 0.274179, 0.261449, 0.237412, 0.233385, 0.286068, 0.347396, 0.353434, 0.388187, 0.484964
-309.798,0.929372,0.11757,4,31,0,318.753,0.0195282,0.152657,-0.499501,-0.0303176,0.574205,1.41872,1.1212,1.06825,-0.668495,-1.13385,-0.114542,-0.554748,-0.662697,0.95156,-0.570402,-1.45407,1.10896,-0.508593,-0.847419
-311.732,0.993373,0.11757,6,63,0,316.874,0.143761,0.229074,-0.533989,-0.0957348,0.509525,1.41411,1.26638,1.15076,-0.160787,0.273961,-0.301405,-0.866429,-0.972242,0.851946,-0.261946,-2.11288,0.531456,-1.12008,-0.757811
-314.741,0.978648,0.11757,5,63,0,321.694,0.12561,0.00941543,-0.382156,0.0179779,0.464163,1.61532,1.14421,1.19597,-0.317087,-0.879487,0.222982,-0.830043,-0.145816,1.30088,-0.463773,-1.71769,0.315326,-1.43007,-1.16975
-307.25,0.99391,0.11757,4,15,0,319.23,0.107311,0.0990385,-0.426807,-0.0390427,0.444207,1.49866,1.19115,1.1192,-0.50778,-0.462236,-0.279504,-0.686546,-0.592966,1.2726,-0.803605,-1.8756,0.615551,-1.25705,-0.900568
-311.901,0.649432,0.11757,5,31,0,320.735,0.00120641,0.0696955,-0.364219,-0.116496,0.579877,1.23652,1.51437,1.36311,-0.29273,-0.293185,-0.325902,-0.75246,-0.542336,0.810411,0.0879349,-1.3941,0.647575,-1.05239,-1.15296
-307.497,0.992909,0.11757,5,31,0,317.748,0.106506,-0.0463299,-0.351725,-0.26291,0.406252,1.25977,0.94026,0.610804,-0.461847,-0.514265,-0.0742733,-0.831001,-0.808121,0.782449,-0.818398,-2.03072,0.448481,-0.480906,0.0011109
-310.734,0.973933,0.11757,5,31,0,320.393,0.0953023,0.119792,-0.239921,-0.191744,0.594155,1.60154,1.24455,0.461761,-0.119474,0.0345604,0.00604367,-0.843432,-0.264926,1.36514,-0.000202878,-2.14488,0.200517,-1.68077,-0.890527
-308.067,0.521645,0.11757,5,31,0,319.547,0.0370564,0.0724953,-0.616093,-0.28519,0.525247,1.1324,0.838886,0.670517,-0.11101,0.0153907,0.206004,-0.591124,-0.686183,1.03226,-0.728667,-1.85096,0.527955,-0.791051,-0.762787
-307.805,0.915047,0.11757,5,31,0,315.683,0.108936,0.15676,-0.388917,-0.128252,0.451753,1.41059,1.34953,0.515026,0.0671937,-0.380013,-0.0782736,-0.535095,-0.464163,1.33532,0.000829363,-1.66672,0.628286,-0.627537,-1.39355
-312.757,0.918185,0.11757,4,31,0,321.799,0.178957,0.189711,-0.319666,-0.0197262,0.431196,1.52178,1.40019,0.57582,0.0694307,0.0792264,-0.194416,-1.03256,-0.467008,1.69164,-0.0712516,-1.72489,0.723367,-0.455017,-1.73262
-312.886,0.999293,0.11757,5,31,0,322.6,0.335707,0.0968027,-0.306717,-0.205276,0.50592,1.66288,1.28558,0.781198,0.166151,-0.325489,0.163552,0.284413,-0.110932,1.80196,0.0447812,-0.813811,1.53485,-0.0994343,-2.95991
-308.219,0.991214,0.11757,5,31,0,318.613,0.216195,-0.0049614,-0.576605,-0.092701,0.403637,1.08459,0.925859,0.963954,0.0225582,0.100189,-0.0689899,-0.749262,-0.298627,1.58634,0.309169,-1.42957,0.869761,-0.356958,-1.62889
-308.473,0.927163,0.11757,4,31,0,319.205,0.116861,0.123052,-0.359547,-0.0551469,0.336212,1.57944,1.19889,0.589618,0.173672,0.0143668,0.321529,-0.683012,-0.526862,0.952543,-0.0679278,-1.53029,0.769903,-0.858942,-1.55819
-307.107,0.971385,0.11757,5,63,0,313.628,0.109206,0.0760788,-0.397112,-0.346236,0.375423,1.48819,1.08972,0.847976,-0.240957,-0.221543,-0.034816,-0.945826,-0.804854,1.02882,-0.309433,-1.47326,0.822316,0.107231,-1.12736
-308.703,0.960599,0.11757,5,31,0,315.301,0.0650456,0.179818,-0.344551,-0.154752,0.35538,1.64922,0.99864,0.586034,-0.31688,-0.117781,0.107295,-0.850091,-0.572465,1.11438,-0.508001,-1.41169,1.43842,-0.36018,-1.55062
-322.085,0.732673,0.11757,5,63,0,328.691,0.378292,-0.0271768,-0.169111,-0.375044,0.0363544,1.4757,1.19213,0.97478,-0.488041,-0.850926,-0.269664,-1.24754,-0.82347,0.433137,-0.338278,-2.17402,0.455181,0.0384929,-0.333024
-313.515,0.99809,0.11757,5,31,0,333.876,-0.049186,-0.0290946,-0.394663,-0.195405,0.447256,1.05015,1.60319,0.728114,-0.842121,-0.770359,-0.325051,-0.392794,-0.337856,1.20104,-0.313131,-0.558053,1.90127,0.148821,-1.84025
-308.641,0.862344,0.11757,5,63,0,321.901,0.209428,0.0944581,-0.49148,-0.122753,0.421423,1.48542,0.783956,1.31018,-0.561088,-0.829069,-0.263285,-1.33728,-1.10989,0.485216,-0.483167,-1.76158,0.376465,-1.27742,-0.043852
-308.12,0.978706,0.11757,5,31,0,316.874,0.136474,0.0787458,-0.45371,-0.0611343,0.236952,1.16015,1.2617,0.540709,0.123658,0.0676429,0.206215,-1.2007,-1.03516,0.845721,-0.662511,-0.910437,1.46557,0.436544,-1.58994
-313.76,0.70823,0.11757,6,63,0,324.043,0.0363249,-0.0250239,-0.553069,-0.249695,0.318204,0.92092,1.46104,0.664829,0.180013,-0.196602,0.366887,0.037454,0.0751791,1.9302,0.85171,-2.60038,-0.244047,-1.50805,-0.886735
-311.052,0.83402,0.11757,5,31,0,321.808,0.0850918,0.111812,-0.32715,-0.19476,0.67218,1.2202,1.21451,0.978746,-0.0296721,0.251273,0.229995,0.0243955,0.261492,1.43199,0.125392,-2.10377,0.115464,-1.32331,-1.26744
-314.82,0.89812,0.11757,5,31,0,322.306,0.110693,0.243931,-0.309759,-0.25915,0.612564,1.00043,1.53291,0.697056,0.31758,0.133881,0.346313,0.124137,0.410288,2.2262,0.113815,-2.04245,0.374755,-1.23288,-1.7631
-316.818,0.994691,0.11757,5,31,0,323.862,0.058543,0.141876,-0.31656,-0.0734483,0.662855,1.31474,1.48339,1.0541,-0.0614289,0.134618,0.0326752,0.614531,0.46633,1.91207,1.32511,-1.89352,0.180069,-1.40459,-1.91241
